cpt_code_range,ccs_numerical_label
42971-42999,33
43030-43030,33
S2080-S2080,33
S2342-S2342,33
S2344-S2344,33
31600-31610,34
31613-31614,34
31505-31510,35
31515-31526,35
31535-31536,35
31575-31576,35
31579-31579,35
31615-31615,35
32440-32501,36
32505-32506,36
32520-32525,36
32545-32545,36
32657-32657,36
32663-32663,36
32666-32672,36
32850-32850,36
G0302-G0302,36
G0303-G0303,36
G0304-G0304,36
G0305-G0305,36
S2061-S2061,36
31622-31629,37
31632-31633,37
31656-31659,37
31717-31717,37
71038-71038,37
32095-32100,38
32405-32405,38
32507-32507,38
32607-32609,38
32700-32700,38
32705-32705,38
94010-94453,38
94620-94621,38
94726-94729,38
32000-32000,39
32002-32002,39
32019-32036,39
32421-32422,39
32550-32551,39
32554-32557,39
0010T-0010T,40
0043T-0043T,40
0064T-0064T,40
0140T-0140T,40
0243T-0244T,40
31320-31320,40
32400-32402,40
32601-32602,40
32605-32606,40
39400-39400,40
92520-92520,40
93720-93722,40
95012-95012,40
0250T-0252T,41
31502-31502,41
31512-31513,41
31578-31578,41
31647-31651,41
32005-32005,41
32552-32553,41
32560-32562,41
32701-32701,41
32960-32960,41
94799-94799,41
C9742-C9742,41
0276T-0277T,42
0340T-0340T,42
31300-31300,42
31360-31382,42
31400-31420,42
31527-31531,42
31540-31571,42
31580-31590,42
31599-31599,42
31611-31612,42
31630-31631,42
31634-31634,42
31636-31646,42
31660-31700,42
31719-31825,42
31899-31899,42
32001-32001,42
32110-32151,42
32200-32320,42
32420-32420,42
32503-32504,42
32540-32540,42
32650-32656,42
32662-32662,42
32800-32820,42
32905-32940,42
32997-32999,42
39000-39220,42
39499-39501,42
39545-39599,42
C9730-C9730,42
C9731-C9731,42
S2340-S2340,42
S2341-S2341,42
0256T-0259T,43
0262T-0262T,43
0318T-0318T,43
0343T-0345T,43
33361-33496,43
33600-33602,43
33684-33684,43
33732-33732,43
33920-33920,43
92986-92990,43
33140-33141,44
33510-33536,44
33570-33570,44
33575-33575,44
35600-35600,44
S2204-S2204,44
S2205-S2205,44
S2206-S2206,44
S2207-S2207,44
S2208-S2208,44
S2209-S2209,44
92920-92944,45
92973-92973,45
92980-92984,45
92995-92996,45
C9600-C9600,45
C9601-C9601,45
C9602-C9602,45
C9603-C9603,45
C9604-C9604,45
C9605-C9605,45
C9606-C9606,45
C9607-C9607,45
C9608-C9608,45
G0290-G0290,45
G0291-G0291,45
S2220-S2220,45
92975-92977,46
0205T-0205T,47
36013-36013,47
75500-75527,47
75574-75574,47
75750-75766,47
93451-93501,47
93508-93533,47
93539-93572,47
C9741-C9741,47
0293T-0294T,48
0319T-0325T,48
0387T-0388T,48
33200-33249,48
33262-33264,48
33270-33273,48
93536-93536,48
G0297-G0297,48
G0298-G0298,48
G0299-G0299,48
G0300-G0300,48
G0448-G0448,48
0024T-0024T,49
0051T-0051T,49
0052T-0052T,49
0053T-0053T,49
0166T-0166T,49
0167T-0167T,49
0302T-0307T,49
32160-32160,49
32658-32661,49
33015-33130,49
33250-33261,49
33265-33266,49
33300-33315,49
33350-33350,49
33500-33507,49
33542-33548,49
33572-33572,49
33608-33681,49
33688-33688,49
33692-33730,49
33735-33739,49
33770-33786,49
33813-33814,49
33855-33855,49
33918-33919,49
33924-33924,49
33940-33940,49
33967-33968,49
33970-33983,49
33999-33999,49
92961-92961,49
92992-92993,49
93580-93583,49
0048T-0049T,50
0050T-0050T,50
33946-33966,50
33969-33969,50
33984-33993,50
36822-36822,50
92970-92971,50
35301-35301,51
35390-35390,51
35901-35901,51
0001T-0002T,52
0033T-0034T,52
0035T-0036T,52
33330-33330,52
33335-33335,52
33606-33606,52
33802-33803,52
33820-33853,52
33860-33886,52
34830-34832,52
34839-34839,52
35081-35103,52
37700-37785,53
36000-36000,54
36010-36012,54
36014-36145,54
36160-36254,54
36481-36489,54
36493-36510,54
36555-36571,54
36578-36585,54
36595-36595,54
36597-36597,54
36620-36660,54
36823-36823,54
37197-37197,54
37201-37203,54
37209-37209,54
37211-37211,54
92997-92998,54
G0275-G0275,54
G0278-G0278,54
S2095-S2095,54
S2211-S2211,54
S9527-S9527,54
S9528-S9528,54
34520-34520,55
35516-35525,55
35533-35533,55
35537-35558,55
35565-35571,55
35582-35587,55
35616-35623,55
35637-35641,55
35646-35661,55
35665-35671,55
35685-35686,55
33332-33332,56
